order_id,product_id,customer_id,date_order,quantities,country_address
ORD0830585,30,LOG1918,7/7/22,64,China
ORD8745619,33,LOG6106,23/1/22,49,Sweden
ORD6945749,75,LOG9779,26/11/22,17,Netherlands
ORD1369178,293,LOG2335,3/2/23,44,China
ORD8687361,283,LOG2091,28/9/22,92,Iraq
ORD4684053,241,LOG9933,30/5/24,30,USA
ORD2226603,73,LOG1112,30/12/22,93,Germany
ORD7783627,207,LOG0859,8/10/22,46,Switzerland
ORD9853053,280,LOG3564,22/7/23,6,France
ORD0314264,53,LOG3496,8/5/22,99,United Kingdom
ORD3264107,248,LOG8566,1/5/24,37,USA
ORD9286565,209,LOG5564,24/2/22,24,USA
ORD9706600,287,LOG5837,19/11/24,93,United Kingdom
ORD2180359,280,LOG9907,29/3/24,46,Turkey
ORD2527699,160,LOG6637,10/7/22,53,USA
ORD0158422,264,LOG5788,11/12/21,95,Netherlands
ORD2804877,164,LOG0139,16/5/24,99,Egypt
ORD2628086,141,LOG7546,18/1/24,60,Portugal
ORD8027808,224,LOG1947,11/2/24,97,USA
ORD5027688,55,LOG9524,28/3/24,63,Italy
ORD5785352,138,LOG9864,24/2/22,85,USA
ORD3598235,117,LOG0308,1/1/23,32,USA
ORD0076694,152,LOG3063,11/4/22,87,USA
ORD2863249,71,LOG9534,7/7/24,33,France
ORD1223331,313,LOG8297,18/10/23,67,Spain
ORD0420050,311,LOG0763,2/12/22,18,Switzerland
ORD4322993,54,LOG8300,12/2/22,25,USA
ORD4206769,313,LOG6134,10/11/22,95,USA
ORD0251028,101,LOG0663,26/11/22,54,Saudi Arabia
ORD6962774,163,LOG4293,12/2/24,58,France
ORD2817441,255,LOG5130,3/11/23,67,United Kingdom
ORD4375574,40,LOG7829,2/8/24,46,China
ORD0590697,253,LOG9025,6/5/23,24,Italy
ORD6754552,173,LOG1525,15/4/22,32,France
ORD8197158,148,LOG6702,25/1/24,47,USA
ORD2445252,97,LOG1243,17/3/24,86,Portugal
ORD3590395,108,LOG3286,11/8/23,23,Sweden
ORD2038795,133,LOG3565,28/3/24,66,Spain
ORD6593352,40,LOG7042,29/5/23,27,Sweden
ORD0991793,139,LOG2291,30/6/23,2,USA
ORD5699704,45,LOG8645,18/3/23,90,United Kingdom
ORD2655585,155,LOG7283,2/1/22,17,Iraq
ORD3434236,33,LOG1476,2/4/22,33,United Kingdom
ORD5855390,100,LOG3892,8/1/22,9,USA
ORD7458188,176,LOG5886,2/11/23,43,Saudi Arabia
ORD2207005,129,LOG4619,14/11/22,48,USA
ORD1427458,149,LOG8562,15/6/23,39,USA
ORD7043699,311,LOG3355,25/8/24,93,USA
ORD0185831,148,LOG8522,4/9/22,42,Italy
ORD0084769,164,LOG0394,27/2/23,26,Italy
ORD0484088,46,LOG1033,11/3/24,99,Spain
ORD9654797,12,LOG6816,12/8/22,50,Italy
ORD7368348,100,LOG5284,27/2/22,25,United Kingdom
ORD2819650,233,LOG2537,18/10/22,24,USA
ORD6105791,69,LOG8540,30/5/22,13,Turkey
ORD2190640,276,LOG8954,18/9/24,60,USA
ORD8978110,311,LOG4722,8/5/24,7,Greece
ORD0990474,131,LOG2031,29/10/23,57,USA
ORD9061675,30,LOG6041,16/7/24,36,USA
ORD0359584,77,LOG4882,3/5/24,45,Sweden
ORD9914861,239,LOG6465,27/6/22,20,Spain
ORD8330848,173,LOG7488,8/8/24,65,Spain
ORD6521107,223,LOG1023,18/7/23,8,Italy
ORD7389846,67,LOG4678,7/5/24,16,United Kingdom
ORD6629463,247,LOG6888,12/8/24,14,USA
ORD7883186,190,LOG5679,18/11/22,76,Iraq
ORD4964756,234,LOG6291,4/4/22,87,Italy
ORD8624274,36,LOG1269,11/8/22,15,Turkey
ORD7773236,291,LOG4292,17/3/23,92,USA
ORD8476541,59,LOG1899,18/5/24,98,United Kingdom
ORD7304397,169,LOG6579,4/7/24,66,USA
ORD0820926,297,LOG7248,12/12/21,32,Egypt
ORD4152914,126,LOG8719,17/6/23,87,Switzerland
ORD0629331,130,LOG6236,7/3/23,63,China
ORD7693008,206,LOG7764,5/8/22,86,France
ORD0375502,188,LOG4099,15/4/22,51,Greece
ORD5933288,172,LOG6398,9/12/22,25,France
ORD0791693,165,LOG0397,2/10/24,58,United Kingdom
ORD8142261,148,LOG4564,24/11/22,63,USA
ORD7397212,67,LOG1117,26/6/23,62,Saudi Arabia
ORD6485789,94,LOG7037,14/1/24,22,USA
ORD8057946,295,LOG2413,7/1/23,58,Portugal
ORD0581884,228,LOG1180,3/11/24,58,USA
ORD5422956,238,LOG9354,24/10/24,86,Italy
ORD7814751,80,LOG3238,6/9/22,49,France
ORD8030142,139,LOG8423,2/6/23,52,USA
ORD8852413,188,LOG8546,30/10/22,42,Spain
ORD5241678,229,LOG1868,13/10/22,70,USA
ORD3315012,240,LOG2314,14/1/22,15,USA
ORD1089641,183,LOG6670,3/10/23,54,France
ORD9652674,243,LOG9092,8/6/23,60,USA
ORD0060768,61,LOG6310,30/1/22,97,USA
ORD0137440,156,LOG9724,6/10/22,8,USA
ORD0070605,296,LOG7696,25/8/24,53,USA
ORD9736322,214,LOG1026,24/8/22,60,France
ORD9229400,254,LOG6767,12/5/22,5,Turkey
ORD9207822,60,LOG2292,25/5/23,68,Switzerland
ORD5412801,208,LOG0248,18/11/24,6,Spain
ORD1051650,73,LOG5382,27/8/22,96,Netherlands
ORD1790032,117,LOG6260,11/12/23,94,China
ORD8287428,279,LOG3291,18/3/24,47,France
ORD3848891,234,LOG8485,22/8/22,99,France
ORD7913630,36,LOG0359,10/2/24,55,Spain
ORD6358434,104,LOG5216,11/1/23,40,USA
ORD5817220,156,LOG0873,28/10/23,52,Switzerland
ORD9811398,107,LOG9891,29/10/23,16,United Kingdom
ORD4142073,23,LOG9154,14/7/23,13,China
ORD7738006,215,LOG3741,14/3/22,30,USA
ORD8390789,30,LOG8347,6/6/24,19,Germany
ORD7442118,64,LOG5115,21/11/22,17,Netherlands
ORD1594918,153,LOG7436,27/6/22,63,Saudi Arabia
ORD6964958,231,LOG6161,18/1/22,19,France
ORD9837588,246,LOG9435,13/9/23,92,Spain
ORD5658944,7,LOG8524,17/12/23,58,Germany
ORD5746568,254,LOG1208,23/12/21,55,Italy
ORD5114749,306,LOG9183,19/6/23,90,Italy
ORD6764469,122,LOG2654,10/8/22,90,Germany
ORD6468330,285,LOG1528,11/11/23,62,Saudi Arabia
ORD8990419,145,LOG1150,14/6/22,23,USA
ORD0606043,203,LOG4750,31/12/23,9,Egypt
ORD0427955,130,LOG9599,1/2/23,12,USA
ORD6677631,136,LOG0589,25/9/24,1,China
ORD3124493,183,LOG6510,4/5/22,58,Iraq
ORD8600745,143,LOG9376,13/12/22,1,USA
ORD7833482,131,LOG4022,8/4/22,34,Portugal
ORD0542022,107,LOG9974,12/9/24,96,France
ORD1033810,166,LOG4525,22/7/24,48,Sweden
ORD8915917,311,LOG6570,13/9/22,89,USA
ORD9756833,282,LOG0327,27/11/23,1,Greece
ORD5132702,158,LOG9339,18/5/24,16,USA
ORD1582733,97,LOG7934,5/8/23,61,Netherlands
ORD8192829,216,LOG3747,8/7/23,64,Netherlands
ORD7546882,192,LOG3890,27/8/22,63,Italy
ORD4763689,239,LOG6262,17/3/22,69,USA
ORD0444677,247,LOG0826,13/8/24,22,China
ORD3435972,109,LOG2507,17/8/24,93,Germany
ORD0580877,196,LOG3090,29/10/23,67,Turkey
ORD1468535,296,LOG6405,11/12/22,76,Italy
ORD5055402,62,LOG4242,22/12/22,26,Sweden
ORD0826789,287,LOG1271,8/2/24,16,United Kingdom
ORD1853259,280,LOG0233,13/8/24,51,France
ORD4145818,239,LOG6744,2/8/24,86,USA
ORD1870461,240,LOG6146,7/4/24,57,Iraq
